,index,0;1;2;3;4;Answer,Words
0,0.0,"The oxidation number of Cl in Cl2O7 is;(a) + 7;(b) + 5;(c) + 3;(d) – 7;""(a) + 7",oxidise
1,1.0,Explanation:,molar
2,2.0,Cl show different oxidation state as -1 to +7 due to vacant d orbital. As oxygen is more electronegative than Cl. Oxygen size is small hence its more electronegative and show -2 oxidation states.,tendency
3,3.0,Here Cl2O7 then equation is: 2x + 7 × (-2) = 0,
4,4.0,"x = +7 hence oxidation state of Cl is +7. I think you get your answer how to find oxidation state.""",higher
5,5.0,"What is known as Autooxidation?;(a) Formation of H2O by the oxidation of H2O2.;(b) Formation of H2O2 by the oxidation of H2O.;(c) Both (1) and (2) are true;(d) None of the above;""(b) Formation of H2O2 by the oxidation of H2O.",first
6,6.0,Explanation:,hcl
7,7.0,"The tendency of an electrode to lose electrons is known as;(a) Electrode Potential;(b) Reduction Potential;(c) Oxidation Potential;(d) E.M.F.;""(c) Oxidation Potential",ions
8,8.0,Explanation:,state
9,9.0,M → Mn+ + ne– (oxidation potential),
10,10.0,"Mn+ + ne– → M (reduction potential)""",hydrogen
11,11.0,"If equal volumes of 1M KMnO4 and 1M K2Cr2O7 solutions are allowed to oxidize Fe2+ in acidic medium. The amount of iron oxidized will be:;(a) More with KMnO2;(b) More with K2Cr2O7;(c) Equal with both oxidising agents;(d) Cannot be determined;""(b) More with K2Cr2O7",moles
12,12.0,Explanation:,considered
13,13.0,The reason due to which the amount of Fe oxidised will be more with ​K2Cr2O7 is:,
14,14.0,the change in the oxidation state (or number) or n factor is greater with KMnO4,mole
15,15.0,"Which of the following processes does not involve either oxidation or reduction?;(a) Formation of slaked lime from quick lime;(b) Heating Mercuric Oxide;(c) Formation of Manganese Chloride from Manganese oxide;(d) Formation of Zinc from Zinc blende;""(a) Formation of slaked lime from quick lime",decrease
16,16.0,Explanation:,slowly
17,17.0,CaO + H2​O →Ca(OH)2,
18,18.0,"Oxidation number doesn’t change so its not a redox reaction.""",think
19,19.0,Explanation:,magnesium
20,20.0,First to find oxidation number of Nitrogen in N2H4,medium
21,21.0,Oxidation number of H = +1,formation
22,22.0,Let oxidation number of nitrogen be x,present
23,23.0,2x + 4(1) = 0,emf
24,24.0,2x = -4,kio
25,25.0,x = -2,increase
26,26.0,Each nitrogen atom has -2 oxidation number. So taken both nitrogen atoms in account gives oxidation number -4.,alkaline
27,27.0,Change in oxidation number of nitrogen on losing 10 mol of electrons (considering no change in oxidation number of hydrogen atoms),fesoaq
28,28.0,-4 – (-10) = +6,helectropositive
